strain	data source	year	month	region	location	continent	clade	group	MLVA	date	23SRna	Macrolide Susceptibility	time range	completeness	ST
ERR6807351_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807352_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807353_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807354_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807355_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807356_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807357_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807358_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807359_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807360_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807361_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807362_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807363_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807364_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807365_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807366_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807367_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807368_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR6807369_PE	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	contigs	1
ERR974262_PE	public	1986	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	1986	NA	S	1944-2009	contigs	1
GCA_000027345	public	NA	NA	NA	NA	NA	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	complete	1
GCA_000331085	public	NA	NA	United States	United States	Americas	T1-1	T1-1	4-5-7-2	NA	NA	S	NA	complete	1
GCA_001296615	public	2006	NA	Tunisia	Tunisia	Africa	T1-1	T1-1	4-5-7-2	2006	NA	S	1944-2009	contigs	1
GCA_001296855	public	2008	NA	Tunisia	Tunisia	Africa	T1-1	T1-1	4-5-7-2	2008	NA	S	1944-2009	contigs	1
GCA_002090215	public	2016	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	2016	A2063G	R	2016-2019	complete	1
GCA_002090235	public	2016	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	2016	NA	S	2016-2019	complete	1
GCA_002090275	public	2015	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	2015	A2063G	R	2010-2015	complete	1
GCA_002090295	public	2015	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	2015	A2063G	R	2010-2015	complete	1
GCA_002090315	public	2016	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	2016	A2063G	R	2016-2019	complete	1
GCA_002095995	public	2016	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	2016	A2063G	R	2016-2019	complete	1
GCA_002096015	public	2016	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	2016	A2063G	R	2016-2019	complete	1
GCA_002096035	public	2016	NA	China	China-Beijing	Asia	T1-1	T1-1	4-5-7-2	2016	A2063G	R	2016-2019	complete	1
GCA_002128025	public	1965	NA	United States	United States	Americas	T1-1	T1-1	4-5-7-2	1965	NA	S	1944-2009	complete	1
GCA_002147855	public	1968	NA	United States	United States	Americas	T1-1	T1-1	4-5-7-2	1968	NA	S	1944-2009	complete	1
